SPLEase,alertvolume,app,category,dashboard,datasource,description,displayapp,domain,examples{}.label,examples{}.name,gdpr,gdprtext,hasSearch,help,highlight,host,howToImplement,ids_type,images{}.label,images{}.name,images{}.path,journey,killchain,knownFP,mitre,name,name_label,operationalize,released,relevance,similarUseCases{},story,usecase
Advanced,Other,Splunk_App_for_Enterprise_Security,Data Exfiltration|Denial of Service,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Network Communication,Detects unusual network traffic that may be indicative of a DoS attack as indicated by a high number of unique sources or a high volume of firewall packets,Splunk App for Enterprise Security,Network,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_2,,,,Unusual Volume of Network Activity,unusual_volume_of_network_activity,,,,,,Insider Threat|Application Security|Advanced Threat Detection
Medium,Low,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Find%20Unusually%20Long%20CLI%20Commands%20-%20Demo,Endpoint Detection and Response|Windows Security,<p>Oftentimes we're able to detect malware by looking for unusually long command line strings.</p><p><b>Alert Volume:</b> Low</p>,Splunk Security Essentials,Endpoint,"Demo Data
Live Data","Find Unusually Long CLI Commands - Demo
Find Unusually Long CLI Commands - Live",,,Yes,"<p>This example leverages the Simple Search assistant. Our dataset is a collection of Sysmon process launch logs (EventCode 1). The search then looks for unusually long command line strings, and surfaces those.</p>",No,ubuntu8971,"Implementing this search is similar to any of the other searches that require EDR data. In order to use it, we need to get process launch events, and know the full command line string (so the file path, process name, and the command line arguments). For the demo and live version of this search we use Microsoft Sysmon with the CommandLine field, but you could adjust that to another data source and change the field name (it is not a CIM field).",,,,,Stage_3,Installation|Exploitation|Actions on Objective,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect a spike in the length of the CLI commands, but that doesn't mean you really want to put it in front of an analyst. So while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p><p>You should not review these alerts directly (except for access to extremely sensitive system), but instead use them for context, or to aggregate risk (as mentioned under How To Respond).</p>",Execution,Find Unusually Long CLI Commands,showcase_unusually_long,"<p>When this search returns values, initiate your incident response process and determine the user account that is generating the alert. Contact the user and system owner to determine if it is authorized, and document if it is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted as excessively long command lines commands could house malicious scripts.</p>",1.0.0,"To avoid detection by file integrity monitoring solutions or similar, malware will often execute code 'in memory' and never write the code to disk. But if you're watching process executions in some detail via windows process command line auditing or via Sysmon or similar, you can often pick up anomalous behavior such as statistically significant command line execution lengths. The example given here shows a command interpreter executing a large amount of .vbs code to download a ransomware encryption binary.",,,Advanced Threat Detection|Security Monitoring
Basic,High,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Suspicious%20Windows%20Registry%20activity%20-%20Demo,Endpoint Detection and Response,"<p>Attackers often add malware to the <a href=""https://msdn.microsoft.com/en-us/library/windows/desktop/aa376977(v=vs.85).aspx"">Windows Autorun</a> registry keys to maintain persistence. This search looks through registry data for suspicious activities.</p><p><b>Alert Volume:</b> High</p>",Splunk Security Essentials,Endpoint,"Demo Data
Live Data","Suspicious Windows Registry activity - Demo
Suspicious Windows Registry activity - Live",,,Yes,"Often, attackers add malware to the <a href=""https://msdn.microsoft.com/en-us/library/windows/desktop/aa376977(v=vs.85).aspx"">Windows Autorun</a> registry keys. This allows the malware to execute after a restart of the computer, which enables it to persist across reboots, and potentially delays the execution of the code until after a reboot to make its activities harder to detect. While legitimate applications also write to these keys, it is a good idea to monitor them and investigate anything that appears suspicious.",No,ubuntu8971,"This use case requires a universal forwarder on the Windows endpoints you wish to monitor as well as the Windows add-on configured to send your logs to Splunk. Alternatively, data from endpoint solutions such as Carbon Black can also report registry modifications for this use case.",,,,,Stage_3,Installation,None at the moment,Persistence,Monitor AutoRun Registry Keys,sser_monitor_autorun_registry_keys,"When this search fires, you will want to start your incident response process for dealing and verify the activities of the process that wrote the registry key.",1.0.0,,detection_registry_persistence,,Advanced Threat Detection
Basic,Low,Splunk_Security_Essentials,GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_simple_search?ml_toolkit.dataset=Access%20to%20Inscope%20Resources%20GDPR%20-%20Demo,Web Proxy,Visibility into who is accessing in-scope resources is key to your GDPR efforts. Splunk allows easy analysis of that information.,Splunk Security Essentials,Network,"Demo Data
Live Data","Access to Inscope Resources GDPR - Demo
Access to Inscope Resources GDPR - Live",,"<h4>Impact:</h4><p>Along with authorization and legitimate reason for use, accessing resources requires an audit trail that helps identify whether a user accessed a critical asset, and whether that user?€?s activity during the login session included viewing sensitive data.</p><p>Within a GDPR context, in-scope applications will store and process personal data. Organizations must ensure that access to those applications is not only authorized and motivated by a legitimate reason to access / handle / process the associated personal data, but also maintain a record of which users accessed those in-scope applications, and whether personal data was viewed. Maintaining such an audit trail is an industry best practice and can be considered an effective security control, as required by Article 32. This is applicable to processing personal data from the controller, and needs to also be addressed if contractors or sub-processors from third countries or international organizations access and transfer personal data (Article 15). In the event that a Supervisory Authority executes powers to place an organization within the scope of a privacy audit, the organization must demonstrate compliance (Article 58) ?€? in such a scenario, it is critical to be able to show evidence of the actual scope of impact from any successful attempt(s) to access or handle personal data. If the organization faces a personal data breach and individuals are impacted, those individuals have the right to demand compensation for material and non-material damage caused by the breach. The organization must prove that they have understood and addressed the risk appropriately and deployed proper countermeasures (Article 82). Capability to demonstrate that best practice was adhered to ?€? that is, that an audit trail was recorded of any given user?€?s login activity to an in-scope application, and whether they viewed personal data ?€? can help mitigate potential impact to the organization.</p>",Yes,"This example leverages the Simple Search search assistant. Our example dataset is a collection of anonymized Firewall logs (onboarded in accordance with our Data Onboarding Guides), during which someone uses Workday. Our live search looks for the same behavior using the standardized sourcetypes for Palo Alto Networks or the Common Information Model, and you can look for any destination where you have sensitive data including your cloud providers, databases, and more.",Yes,ubuntu8971,"Implementation of this capability will vary from system to sytem. Tracking access via firewall connections is a popular approach, though you could also use application logs which would provide more granular access. Splunk recommends working with you auditor, and Splunk Professional Services for any complicated situations.",,,,,Stage_1,,No known false positives at this time.,,Access to In-Scope Resources,access_inscope_resources,,2.1.0,,,,Compliance
Medium,High,Splunk_Security_Essentials,Account Compromise|IAM Analytics|SaaS,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_standard_deviation?ml_toolkit.dataset=AWS%20APIs%20Called%20More%20Often%20Than%20Usual%20Per%20Account%20-%20Demo,Audit Trail,"Builds a per-user baseline for how many API calls is normal, and then alerts for deviations.",Splunk Security Essentials,Access,"Demo Data
Live Data","AWS APIs Called More Often Than Usual Per Account - Demo
AWS APIs Called More Often Than Usual Per Account - Live",,,Yes,"This example leverages the Detect Spikes search assistant. Our example dataset is a collection of anonymized AWS CloudTrail logs, during which someone does something bad. Our live search looks for the same behavior using the very standardized index and sourcetype for AWS CloudTrail, as detailed in How to Implement.",No,ubuntu8971,"Assuming you use the ubiqutious AWS Add-on for Splunk to pull these logs in, this search should work automatically for you without issue. While implementing, make sure you follow the best pratice of specifying the index for your data.",,,,,Stage_3,,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately a spike in the number we're monitoring... it's nearly impossible for the math to lie. But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p> <p>How you handle these alerts depends on where you set the standard deviation. If you set a low standard deviation (2 or 3), you are likely to get a lot of events that are useful only for contextual information. If you set a high standard deviation (6 or 10), the amount of noise can be reduced enough to send an alert directly to analysts.</p>",,AWS APIs Called More Often Than Usual Per User,AWS_APIs_Called_More_Often_Than_Usual_Per_Account,"When this alert fires, you should look at what APIs were called. We've excluded some of the basic inaction ones (such as DescribeInstances), but the severity of the event will vary based on the severity of the API calls. The natural next step is to call a user and see if they expected this behavior. If the user cannot attribute this activity, it is best to reset the keys and continue your investigation to see what occurred.",2.0.0,"The risk that this detection intends to reduce is the compromise of an existing AWS account, where it all of a sudden begins taking new actions that it hasn't before. This could mean that the credentials for that account have been compromised, and are in control of an adversary, potentially resulting in data leakage, data deletion, or cost run-up.",,,Advanced Threat Detection
Medium,Very Low,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=New%20Paths%20for%20Common%20Executables%20-%20Demo,Endpoint Detection and Response|Windows Security,"<p>Simpler malware will hide in plain sight with a filename like explorer.exe, running in the user profile. This detection will look for new paths, for common / expected executables. (<a href=""https://car.mitre.org/wiki/CAR-2013-05-002"">MITRE CAR Reference</a>)</p><p><b>Alert Volume:</b> Very Low (for most companies)</p>",Splunk Security Essentials,Endpoint,"Demo Data
Live Data","New Paths for Common Executables - Demo
New Paths for Common Executables - Live",,,Yes,"<p>This example leverages the Detect New Values search assistant. Our dataset is a anonymized collection of process launch events (Event ID 4688) filtered for known good filenames, running from atypical directories. We find the first time that filename has launched from that path, and then alert if that was in the last day.</p>",No,ubuntu8971,"<p>Implementation of this example (or any of the First Time Seen examples) is generally very simple. <ul><li>Validate that you have the right data onboarded, and that the fields you want to monitor are properly extracted.</li><li>Save the search.</li></ul></p><p>For most environments, these searches can be run once a day, often overnight, without worrying too much about a slow search. If you wish to run this search more frequently, or if this search is too slow for your envionment, we recommend leveraging a lookup cache. For more on this, see the lookup cache dropdown below and select the sample item. A window will pop up telling you more about this feature.</p>",,,,,Stage_3,Installation|Actions on Objective,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect the first occurrence in the time period you're searching over (or for the lookup cache feature, the first occurrence over whatever time period you built the lookup). But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p> <p>This search should almost never fire, except for suspicious events, as it's virtually guaranteed that any events firing are specifically trying to deceive the operator.</p>",Defense Evasion,Common Filename Launched from New Path,showcase_new_path_for_common_filename,"<p>When this search returns values, initiate your incident response process and identify the system demonstrating this behavior. Determine the time, process and parent process that is being executed and by what account on the system. Contact the user and system owner to determine if it is authorized, and make a note that this is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted to determine why an executable is starting from a path not previously executed from.</p>",1.0.0,"There are certain processes that everyone expects to see running on their Windows hosts, like iexplore.exe or svchost.exe. But they?€?re supposed to run from very specific places. This fairly simple search looks to find when legitimate looking filenames are found running, but out of unusual paths never seen before.",,,Advanced Threat Detection
Basic,Low,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=Update%20Service%20-%20Demo,Other,"Splunk can detect the status of services, allowing us to find hosts where the Windows Update service is disabled.",Splunk Security Essentials,Endpoint,"Demo Data
Live Data","Update Service - Demo
Update Service - Live",,,Yes,"This example leverages the Simple Search search assistant. Our example dataset is a collection of anonymized Windows Service logs (onboarded in accordance with our Data Onboarding Guides), during which someone does something bad. Our live search looks for the same behavior using the standard sourcetypes.",No,ubuntu8971,"If you are using the Windows Forwarder with the WinHostMon://Service input configured, this search should work automatically. If you're using another source to detect Service status, you may need to adjust the search string to match your data source.",,,,,Stage_1,,No known false positives at this time.,,Disabled Update Service,Update_Service,"When Windows Update is disabled, the immediate question is why. Ask the user if they disabled it, look for software installations that might have done it, or look for any errors related to the Windows Update Service (wuauserv.exe).",2.0.0,"It is not uncommon for malware to somehow hamstring the Windows Update service, so that Microsoft can't push out fixes to patches, or push out their periodic malware removal tools. Regardless, finding hosts that aren't receiving updates should always be a big priority, as they leave you literally vulnerable.",,,Security Monitoring
Medium,Other,Splunk_App_for_Enterprise_Security,IAM Analytics,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Endpoint Detection and Response,Discovers the presence of default accounts even if they are not being used. Default accounts should be disabled in order to prevent an attacker from using them to gain unauthorized access to remote hosts.,Splunk App for Enterprise Security,Access,,,,,No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_4,,,,Default Account At Rest Detected,default_account_at_rest_detected,,,,,,Security Monitoring|Compliance
None,Medium,Enterprise_Security_Content_Update,Command and Control,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,DNS,"This search identifies DNS query failures by counting the number of DNS responses that do not indicate success, and trigger on more than 50 occurrences.",Enterprise Security Content Update,Network,,,,,No,"This search looks at DNS traffic with a reply code that is NOT indicative of a successful response. A large number of unsuccessful replies may be indicative of DNS protocol tampering or other malicious activity. If more than 50 of these unsuccessful responses are observed over the timeframe of the search, a notable event will be generated.",Yes,ubuntu8971,,,,,,Stage_4,Command and Control,,Exfiltration|Command and Control,Excessive DNS Failures (ESCU),detection_excessive_dns_failures,,,,,Suspicious DNS Traffic,Advanced Threat Detection
None,Medium,Enterprise_Security_Content_Update,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Authentication,"The search queries the authentication logs for assets that are categorized as routers in the ES Assets and Identity Framework, to identify connections that have not been seen before in the last 30 days.",Enterprise Security Content Update,Network,,,,,No,"Attackers will often attempt to compromise network devices such as routers for a variety of nefarious purposes, including modifying VPN settings or re-routing network traffic. Typically, only a relatively small number of user accounts log into these devices on a regualar basis. This search identifies 'new' connections to your routers by checking to see if a similar login was made in the last 30 days. Routers are identified by checking the IP adress against those categorized as a ""router"" in the ES assets and identity framework.",No,ubuntu8971,,,,,,Stage_2,Actions on Objective,,,Detect New Login Attempts to Routers,detection_new_connections_to_routers,,,,,Router & Infrastructure Security,Security Monitoring
Medium,Low,Splunk_Security_Essentials,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/showcase_first_seen_demo?ml_toolkit.dataset=New%20Interactive%20Logon%20from%20a%20Service%20Account%20-%20Demo,Windows Security,"<p>In most environments, service accounts should not log on interactively. This search finds new user/host combinations for accounts starting with ""svc_."" </p><p><b>Alert Volume:</b> Low</p>",Splunk Security Essentials,Access,"Demo Data
Live Data","New Interactive Logon from a Service Account - Demo
New Interactive Logon from a Service Account - Live",,,Yes,"<p>This example leverages the Detect New Values search assistant. Our dataset is a anonymized collection of interactive logon events, and then we apply a filter for when the account name starts with svc_ -- obviously you could adjust this, or leverage a lookup as applicable in your environment. We check the first time that each user has logged interactively onto each server. Notably, this search is probably one of the most difficult in the environment from a performance perspective. Searching for Logon Types requires pulling back almost all of the data off of disk -- it would be highly recommended to leverage a lookup to cache your baseline (on the roadmap for a future version of this app). That said, for most organizations you could likely dispense with the baseline and just whitelist known good service account / host combinations as well.</p>",Yes,ubuntu8971,"<p>Implementation of this example (or any of the First Time Seen examples) is generally very simple. <ul><li>Validate that you have the right data onboarded, and that the fields you want to monitor are properly extracted.</li><li><b>For this search</b> it is also key to verify that the username format of service accounts (or a lookup, if appropriate) is accurate so that you are just looking at service accounts.</li><li>Save the search.</li></ul></p><p>For most environments, these searches can be run once a day, often overnight, without worrying too much about a slow search. If you wish to run this search more frequently, or if this search is too slow for your envionment, we recommend leveraging a lookup cache. For more on this, see the lookup cache dropdown below and select the sample item. A window will pop up telling you more about this feature.</p>",,,,,Stage_1,Command and Control,"<p class=""disclaimer"">This is a strictly behavioral search, so we define ""false positive"" slightly differently. Every time this fires, it will accurately reflect the first occurrence in the time period you're searching over (or for the lookup cache feature, the first occurrence over whatever time period you built the lookup). But while there are really no ""false positives"" in a traditional sense, there is definitely lots of noise.</p> <p>In most environments, you should be able to directly respond to this event because service accounts should not suddenly start logging on interactively.</p>",Privilege Escalation|Persistence|Lateral Movement|Defense Evasion,New Interactive Logon from a Service Account,showcase_new_interactive_service_logon,"<p>When this search returns values, initiate your incident response process and capture the time of the event, as well as the user account and system, credentials that were used, process executed and other pertinent information. Contact the owner of the system. If it is authorized behavior, document that this is authorized and by whom. If not, the user credentials may have been used by another party and additional investigation is warranted.</p>",1.0.0,"<p>Service accounts are more than likely privileged accounts in organizations. However, they should almost never log on interactively (e.g., via Remote Desktop, or by physically sitting at a keyboard and monitor). Because of their privilege and the fact that their usernames often describe their level of access (e.g., svc_exchange_admin), they're a big target for account compromise. Mature organizations should monitor for this activity, and investigate any new logon activity.",,,Advanced Threat Detection
None,Medium,Enterprise_Security_Content_Update,Operations,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ESCU_Use_Case,Network Communication,"This search looks for network traffic on common ports where a higher layer protocol does not match the port that is being used. For example, this search should identify cases where protocols other than HTTP are running on TCP port 80. This can be used by attackers to circumvent firewall restrictions, or as an attempt to hide malicious communications over ports and protocols that are typically allowed and not well inspected.",Enterprise Security Content Update,Network,,,,,No,"This search looks for instances in which the protocol observed is not consistent with the port and transport protocol typically used for that protocol. For example, looking for network traffic other than HTTP running over TCP port 80. Such behavior could indicate a misconfiguration or a custom command and control protocol that has been designed to look like ordinary web traffic. The search will also identify if HTTP traffic is observed running on unexpected ports. This can be common in many environments.",No,ubuntu8971,,,,,,Stage_2,Command and Control,,Command and Control,Protocol or Port Mismatch,detection_protocol_mismatch,,,,,Prohibited Traffic Allowed or Protocol Mismatch,Security Monitoring
Medium,Other,Splunk_App_for_Enterprise_Security,IAM Analytics|Endpoint Compromise|GDPR,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/ES_Use_Case,Authentication,"Discovers use of default accounts (such as admin, administrator, etc.). Default accounts have default passwords and are therefore commonly targeted by attackers using brute force attack tools.",Splunk App for Enterprise Security,Access,,,,"<h4>Problem:</h4><p>Default user accounts are often targeted for exploitation since they have administrative privileges on the host system, thereby enabling an attacker who gains access to the default account to use system resources how they see fit. Depending on the environment, default accounts may not be able to be deleted, and depending on corporate IT policy may have a no-use or limited-use restriction.</p><h4>Impact:</h4><p>The use of default accounts is often out of corporate IT compliance as in most cases no individual can be assigned to the activity happened. Using individual user accounts with administrator privileges in larger organizations with multiple system administrators, is a security best practice and service accounts should rarely be used. </p><p>Specific to GDPR, monitoring and demonstrating that security controls are effective is required by Article 32, therefore immediate awareness of any default account activity is critical to maintaining compliance posture and documenting such activity and remediative actions is required in order to prove compliance for data privacy audits initiated by data privacy authorities (Article 58) and also to help counteract compensation claims (Article 82).</p><h4>Resolution Path:</h4><p>Analyze default user accounts for activity that could be security issues ?€? for example, creation of new accounts, modification in account or file privileges, or other unauthorized configuration changes that could indicate a threat. This helps maintain security posture, compliance, and provide early warning of a larger potential issue. </p>",No,Help not needed -- ES Use Case,No,ubuntu8971,,,,,,Stage_2,,,,Default Account Activity Detected,default_account_activity_detected,,,,,,Security Monitoring|Compliance
,Other,Splunk_User_Behavior_Analytics,Lateral Movement|Account Compromise|Data Exfiltration,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/UBA_Use_Case,Audit Trail,Unusual Geolocation of Communication Destination,Splunk User Behavior Analytics,Other,,,,,No,Help not needed -- UBA Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Unusual Geolocation of Communication Destination,unusual_geolocation_of_communication_destination,,,,,,Advanced Threat Detection|Security Monitoring|Insider Threat
None,Other,Splunk_Professional_Services,Insider Threat,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Authentication,"CIP assets require special protections; therefore, users that have not been vetted for CIP access, or should have had their access removed, should not have access.  System owners should be notified immediately should a non-CIP user attempt to access a CIP asset. ",Splunk Professional Services,Access,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_4,None,,None,Non-CIP user attempts to access CIP asset,UC0052,,,,,,Insider Threat
None,Other,Splunk_Professional_Services,Endpoint Compromise,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,IDS or IPS,Detect attempted network intrusions by src_ip when the same source is observed with two or more unique destinations or one destination and two or more signatures,Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_2,None,,None,Network Intrusion Detected,UC0053,,,,,,Advanced Threat Detection
None,Other,Splunk_Professional_Services,Compliance|Operations|Scanning,http://10.145.89.71:8000/en-US/app/Splunk_Security_Essentials/PS_Use_Case,Network Communication,Communication to an enclave network should only occur from another enclave network or sanitizing servers such as proxy or jump systems.,Splunk Professional Services,Network,,,,,No,Help not needed -- PS Use Case,No,ubuntu8971,,,,,,Stage_3,None,,None,Communication to an enclave network from an non-enclave network,UC0050,,,,,,Security Monitoring|Compliance
