actions_UBASeverity,cardinalityTest,change_type,description,examples_name,label,outlierPeerGroup,outlierValueTracked1,outlierValueTracked2,outlierVariable,outlierVariableSubject,prereqs_field,prereqs_greaterorequalto,prereqs_name,prereqs_override_auto_finalize,prereqs_resolution,prereqs_test,value
7,"| `Load_Sample_Log_Data(""Printer Logs"")` | bucket _time span=1d | stats dc(User) as count by _time ",,"First we pull in our demo dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Pages Printed Per User Per Day - Demo,Pages Printed Per User Per Day - Demo,,,,Pages,User,uniflow_printer_log_sample.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(""Printer Logs"")`  
| bucket _time span=1d 
| stats sum(Page_Count) as Pages by User _time"
,| tstats summariesonly=t allow_old_summaries=t dc(All_Traffic.src_ip) as count from datamodel=Network_Traffic by _time span=1d,,"Here, tstats is pulling in one command a super-fast count per user, per day.
I usually like to rename data model fields after my tstats, as it becomes much easier to use.",Unique Hosts Logged Into Per Day - Accelerated,Unique Hosts Logged Into Per Day - Accelerated,,,,count,user,"count
count
count","1
1
1","Must have an accelerated Authentication data model
Authentication data model must have a field called dest defined
Authentication data model must have the user field defined",,"This search requires an accelerated authentication data model to run. If it is not present, consider ingesting Windows Security data via the Splunk Universal Forwarder, and then accelerating it with the Common Information App from <a href=""http://apps.splunk.com/"">apps.splunk.com</a>.
You should have a field called ""dest"" defined in your accelerated Authentication data model (referenced in tstats as Authentication.dest). If it is not present, consider ingesting Windows Security data via the Splunk Universal Forwarder, and then accelerating it with the Common Information App from <a href=""http://apps.splunk.com/"">apps.splunk.com</a>.
You should have a field called ""user"" defined in your accelerated Authentication data model (referenced in tstats as Authentication.user). If it is not present, consider ingesting Windows Security data via the Splunk Universal Forwarder, and then accelerating it with the Common Information App from <a href=""http://apps.splunk.com/"">apps.splunk.com</a>.","| tstats summariesonly=t allow_old_summaries=t count  from datamodel=Authentication where earliest=-2h 
| tstats summariesonly=t allow_old_summaries=t dc(Authentication.dest) as count  from datamodel=Authentication where earliest=-2h
| tstats summariesonly=t allow_old_summaries=t dc(Authentication.user) as count from datamodel=Authentication where earliest=-2h","| tstats summariesonly=t allow_old_summaries=t dc(Authentication.dest) as count  from datamodel=Authentication  groupby _time span=1d, Authentication.user 
| rename ""Authentication.user"" as user"
,"| `Load_Sample_Log_Data(AWS CloudTrail)` | bucket _time span=1d | stats values(eval(""1"")) as count by _time ",,"First we bring in our basic demo dataset. In this case, anonymized AWS CloudTrail logs. We're using a macro called Load_Sample_Log_Data to wrap around | inputlookup, just so it is cleaner for the demo data.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Next we use stats to summarize the number of events per user per day.",AWS APIs Called More Often Than Usual Per Account - Demo,AWS APIs Called More Often Than Usual Per Account - Demo,,,,count,user,aws-cloudtrail-data-anon.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","| `Load_Sample_Log_Data(AWS CloudTrail)` 
| bucket _time span=1d 
| stats count by  user _time"
,index=* sourcetype=aws:cloudtrail eventName=AuthorizeSecurityGroup* | bucket _time span=1d | stats dc(user) as count by _time,,"First we bring in our basic dataset, AWS CloudTrail logs that are filtered for ACL modification events.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Next we use stats to summarize the number of events per user per day.",AWS Unusual Amount of Modifications to ACLs - Live,AWS Unusual Amount of Modifications to ACLs - Live,,,,count,user,count,1,Must have AWS CloudTrail data,,"In order to run this search, you must have AWS CloudTrail data onboard. Visit the <a href=""/app/Splunk_Security_Essentials/data_source?technology=AWS%20CloudTrail"">data onboarding guide for AWS CloudTrail in this app</a>, or browse to <a href=""https://splunkbase.splunk.com/app/1876/"">apps.splunk.com</a> for more information.",| tstats count where earliest=-2h latest=now index=* sourcetype=aws:cloudtrail,"index=* sourcetype=aws:cloudtrail eventName=AuthorizeSecurityGroup* 
| bucket _time span=1d 
| stats count by user _time"
,"|  `Load_Sample_Log_Data(""Interactive Logins"")`| bucket _time span=1d | stats dc(user) as count by _time  ",,"First we pull in our demo dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Increase in Interactive Logons - Demo,Increase in Interactive Logons - Demo,,,,count,user,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","|  `Load_Sample_Log_Data(""Interactive Logins"")`
| bucket _time span=1d 
| stats dc(dest) as count by _time user "
,| tstats summariesonly=t allow_old_summaries=t dc(All_Traffic.src_ip) as count from datamodel=Network_Traffic by _time span=1d ,,"Here, tstats is pulling in one command a super-fast count per src_ip, per day.",Distinct Hosts Communicated With Per Day - Accelerated,Distinct Hosts Communicated With Per Day - Accelerated,,,,count,All_Traffic.src_ip,"count
count
count","1
1
1","Must have data in Network Traffic data model
Must have an accelerated Network Traffic data model
Network Traffic data model must have src_ip and dest_ip fields",,"This search requires Firewall or Netflow data to run. We are searching here for the common information model network traffic data model.
In addition to searching for the common information model network traffic data model, we are telling Splunk to only visit accelerated data models.
In addition to searching for the accelerated common information model network traffic data model, we are telling Splunk to verify that there is a src_ip and dest_ip in this data set.","| tstats count from datamodel=Network_Traffic where earliest=-1h 
| tstats summariesonly=t allow_old_summaries=t count from datamodel=Network_Traffic where earliest=-1h 
| tstats summariesonly=t allow_old_summaries=t dc(All_Traffic.dest_ip) as dest dc(All_Traffic.src_ip) as src from datamodel=Network_Traffic where earliest=-1h | eval count = dest * src",| tstats summariesonly=t allow_old_summaries=t dc(All_Traffic.dest_ip) as count from datamodel=Network_Traffic by All_Traffic.src_ip _time span=1d 
,"|  `Load_Sample_Log_Data(""Interactive Logins"")`| bucket _time span=1d | stats dc(dest) as count by _time  ",,"First we pull in our demo dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Increase in Interactively Logged In Users - Demo,Increase in Interactively Logged In Users - Demo,,,,count,dest,anon_interactive_logons.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","|  `Load_Sample_Log_Data(""Interactive Logins"")`
| bucket _time span=1d 
| stats dc(user) as count by _time dest "
,"|  `Load_Sample_Log_Data(""Windows Run As Logs (Event ID 4648)"")`| makemv Account_Name delim="","" | bucket _time span=1d | stats dc(Unprivileged_Account_Name) as count by _time  ",,"First we pull in our demo dataset.
This line won't exist outside of demo data.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Increase in Windows Privilege Escalation - Demo,Increase in Windows Privilege Escalation - Demo,,,,count,Unprivileged_Account_Name,event_id_4648_runas.csv,1,Must have Demo Lookup,,Verify that lookups installed with Splunk Security Essentials is present,"| rest splunk_server=local /servicesNS/-/-/data//lookup-table-files | eval blah=1, row=""row""| xyseries row title blah ","|  `Load_Sample_Log_Data(""Windows Run As Logs (Event ID 4648)"")`
| makemv Account_Name delim="","" 
| bucket _time span=1d 
| stats count by _time Unprivileged_Account_Name"
,index=sfdc EVENT_TYPE=DocumentAttachmentDownloads | bucket _time span=1d | stats dc(USER_ID) as count by _time ,,"First we pull in our SFDC dataset and filter for what we're looking for in this use case, specifically the DocumentAttachmentDownloads EVENT_TYPE.
Then we enrich to convert the SFDC USER_ID into a friendly username via a lookup.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Spike in SFDC Documents Downloaded - Live,Spike in SFDC Documents Downloaded - Live,,,,count,USER_NAME,"count
count","1
1","Must have Salesforce Data (assumes index=SFDC)
Must have Download Data (assumes index=SFDC)",,"This search requires data from the Salesforce Event Log File API. This is an additional fee from Salesforce, and can be effectively ingested and analyzed with the <a href=""https://splunkbase.splunk.com/app/1931"">Splunk App for Salesforce</a>.
This search requires data from the Salesforce Event Log File API, and specifically DocumentAttachmentDownloads EVENT_TYPEs. It is assumed that will always be present if you are ingesting data from the Salesforce Event Log File, this check just validates that.","| metasearch index=sfdc  earliest=-24h | head 100 | stats count
| metasearch index=sfdc DocumentAttachmentDownloads earliest=-24h | head 100| stats count","index=sfdc EVENT_TYPE=DocumentAttachmentDownloads 
| lookup SFDC_User_Lookup USER_ID 
| bucket _time span=1d 
| stats count by USER_NAME _time"
,"index=* sourcetype=""WinEventLog:Security"" (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) | bucket _time span=1d | stats dc(user) as count by  _time",,"First we pull in our Windows Security log dataset, filtering to logon Event IDs.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Unique Hosts Logged Into Per Day - Live,Unique Hosts Logged Into Per Day - Live,,,,count,user,"count
count
count","1
1
1","Must have Windows Security data
Must have Logon Success Data
Must have the user field defined",,"This search requires Windows Security data to run. If it is not present, consider ingesting it via the Splunk Universal Forwarder.
You should log logon events. There are many event IDs that we look for in the underlying logs, but they should all fall into the Audit Successful (or Failed) Logon events in your Windows Audit Policy. (<a href=""https://technet.microsoft.com/en-us/library/cc431373.aspx"">docs</a>)
You should have a field called ""user"" defined in your Windows Security logs. This is provided by the Splunk TA for Windows. Consider adding that TA to make for a better experience!","| metasearch earliest=-2h latest=now index=* sourcetype=""WinEventLog:Security"" | head 100 | stats count 
sourcetype=""WinEventLog:Security"" index=* (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) | head 100 | stats count
sourcetype=""WinEventLog:Security"" earliest=-2h index=* (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) | head 100 | stats dc(user) as count","index=* sourcetype=""WinEventLog:Security"" (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) 
| bucket _time span=1d 
| stats dc(host) as count by user _time"
,index=sfdc ROWS_PROCESSED>0 EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI| bucket _time span=1d | stats dc(USER_ID) as count by _time ,,"First we pull in our SFDC dataset and filter for what we're looking for in this use case, specifically export EVENT_TYPEs with at least one ROWS_PROCESSED.
Then we enrich to convert the SFDC USER_ID into a friendly username via a lookup.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Spike in SFDC Records Exported - Live,Spike in SFDC Records Exported - Live,,,,rows,USER_NAME,"count
count","1
1","Must have Salesforce Data (assumes index=SFDC)
Must have Export Data (assumes index=SFDC)",,"This search requires data from the Salesforce Event Log File API. This is an additional fee from Salesforce, and can be effectively ingested and analyzed with the <a href=""https://splunkbase.splunk.com/app/1931"">Splunk App for Salesforce</a>.
This search requires data from the Salesforce Event Log File API, and specifically the ROWS_PROCESSED by the API / BulkAPI / RestAPI EVENT_TYPEs. It is assumed that will always be present if you are ingesting data from the Salesforce Event Log File, this check just validates that.","| metasearch index=sfdc  earliest=-24h | head 100 | stats count
| metasearch index=sfdc API OR BulkAPI OR RestAPI earliest=-24h | head 100| stats count","index=sfdc ROWS_PROCESSED>0 EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI
| lookup SFDC_User_Lookup USER_ID
| bucket _time span=1d 
| stats sum(ROWS_PROCESSED) as rows by _time USER_NAME"
,index=*  sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=* | bucket _time span=1d | stats dc(src_user) as count by _time ,,"First we pull in our email dataset, with filters for Password Reset somewhere in the message.
Based on the message subject, tag it with a value for Detect_Type
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per detection type tag, per day.",Spike in Password Reset Emails - Live,Spike in Password Reset Emails - Live,,,,count,Detect_Type,count,1,Must have Email Data,,"This search requires Email data. The out of the box field extractions support the Common Information Model, including Cisco ESA/Ironport and Microsoft Exchange. If you don't have this data today, we highly recommend ingesting it with the <a href=""https://splunkbase.splunk.com/app/1761/"">Cisco ESA TA</a> or the <a href=""https://splunkbase.splunk.com/app/3225/"">Splunk Add-on for Microsoft Exchange</a>. For best performance, accelerate the email data model from the <a href=""https://splunkbase.splunk.com/app/1621/"">Common Information Model</a>!",| tstats count where index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email earliest=-4h,"index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email Password Reset 
| eval Detect_Type=case(LIKE(Subject, ""%Password Reset%""), ""Password Reset"", LIKE(Subject, ""%Validate Credentials%""), ""Validate Credentials"",1=1, null) 
| bucket _time span=1d 
| stats count by _time Detect_Type "
,index=* sourcetype=uniflow OR (sourcetype=Win*system EventCode=307) | bucket _time span=1d stats dc(User) by _time ,,"First we pull in our printer dataset.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the same day.
Finally, we can count and aggregate per user, per day.",Pages Printed Per User Per Day - Live,Pages Printed Per User Per Day - Live,,,,Pages,User,"count
pages
users","1
1
1","Must have Printer data
Must have a field called Page_Count defined
Must have the user field defined",,"This search requires Printer data. By default we are looking for either Uniflow logs (used from our demo data sample) or Windows Print Server logs. If you don't have this data right now, consider <a href=""https://blogs.technet.microsoft.com/askperf/2008/08/12/two-minute-drill-enabling-print-queue-logging/"">ingesting it</a>! If you have other printer logs, go ahead and substitute the sourcetype below.
You should have a field called ""Page_Count"" defined in your printer logs. If that's not currently extracted, build an extraction for it (or do an inline rex in the SPL below to work around this). Or just choose a different field below.
You should have a field called ""User"" defined in your printer logs. If that's not currently extracted, build an extraction for it (or do an inline rex in the SPL below to work around this). Or just choose a different field below.","earliest=-6h latest=now sourcetype=uniflow OR (sourcetype=Win*system EventCode=307) index=* | head 100 | stats count dc(Page_Count) as pages dc(User) as users
earliest=-6h latest=now sourcetype=uniflow OR (sourcetype=Win*system EventCode=307) index=* | head 100 | stats count dc(Page_Count) as pages dc(User) as users
earliest=-6h latest=now sourcetype=uniflow OR (sourcetype=Win*system EventCode=307) index=* | head 100 | stats count dc(Page_Count) as pages dc(User) as users","index=*  sourcetype=uniflow OR (sourcetype=Win*system EventCode=307) 
| bucket _time span=1d 
| stats sum(Page_Count) as Pages by User _time"
,index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream* )) (dest_port=139 OR dest_port=445) | bucket _time span=1d | stats dc(src_ip) as count by _time ,,"First we pull in our basic dataset, which comes from Firewall Logs for SMB connections.
Bucket (aliased to bin) allows us to group events based on _time, effectively flattening the actual _time value to the last day.
Now we are looking at the number of unique destinations per source IP, per day.",Detect Spike in SMB Traffic - Live,Detect Spike in SMB Traffic - Live,,,,,,count,1,Must have network traffic.,,"Ingest network traffic logs, consider using Splunk Stream.",index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream*)) earliest=-1h latest=now | stats count,"index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream* )) (dest_port=139 OR dest_port=445) 
| bucket _time span=1d 
| stats dc(dest_ip) as count by src_ip, _time "
